date,facebook,instagram,threads,tiktok,sales
2026-01-01,45,70,12,85,666
2026-01-02,50,79,13,99,751
2026-01-03,46,84,14,103,777
2026-01-04,46,83,15,95,756
2026-01-05,52,77,15,81,710
2026-01-06,49,68,15,72,654
2026-01-07,45,62,15,76,643
2026-01-08,41,61,14,90,675
2026-01-09,40,66,14,104,726
2026-01-10,35,75,13,108,746
2026-01-11,38,84,12,100,741
2026-01-12,49,89,11,86,721
2026-01-13,54,88,11,77,691
2026-01-14,57,82,11,81,688
2026-01-15,58,73,11,95,706
2026-01-16,56,67,12,110,733
2026-01-17,45,66,13,114,724
2026-01-18,42,71,14,105,706
2026-01-19,45,80,15,91,694
2026-01-20,44,89,16,83,697
2026-01-21,45,94,17,87,732
2026-01-22,48,93,18,101,788
2026-01-23,53,87,18,115,833
2026-01-24,49,78,17,119,821
2026-01-25,52,72,16,110,787
2026-01-26,62,71,16,96,761
2026-01-27,60,76,15,88,746
2026-01-28,57,85,14,92,775
2026-01-29,53,117,13,106,892
2026-01-30,49,123,13,120,941
2026-01-31,41,122,13,124,930
2026-02-01,42,114,13,116,879
2026-02-02,52,104,14,102,819
2026-02-03,57,96,15,93,772
2026-02-04,61,95,16,97,785
2026-02-05,65,101,17,111,848
2026-02-06,66,112,18,125,922
2026-02-07,55,123,19,129,944
2026-02-08,52,130,20,121,934
2026-02-09,56,128,20,107,894
2026-02-10,53,121,19,98,847
2026-02-11,51,110,18,102,833
2026-02-12,52,102,18,116,866
2026-02-13,56,81,17,131,873
2026-02-14,52,86,16,135,898
2026-02-15,56,95,15,126,904
2026-02-16,68,104,15,112,908
2026-02-17,69,109,15,104,899
2026-02-18,68,108,15,108,907
2026-02-19,64,101,16,122,924
2026-02-20,60,93,17,136,937
2026-02-21,49,87,18,140,909
2026-02-22,48,86,19,131,870
2026-02-23,56,91,20,117,846
2026-02-24,60,100,21,109,845
2026-02-25,64,109,22,113,883
2026-02-26,69,114,22,127,945
2026-02-27,72,113,21,141,989
2026-02-28,63,106,21,145,967
2026-03-01,62,98,20,137,920
2026-03-02,68,92,19,123,873
2026-03-03,64,91,18,114,839
2026-03-04,61,96,17,118,865
2026-03-05,59,105,20,156,1016
2026-03-06,60,114,20,173,1103
2026-03-07,55,119,20,177,1127
2026-03-08,59,118,21,167,1106
2026-03-09,73,111,22,151,1066
2026-03-10,76,103,24,141,1022
2026-03-11,77,97,25,146,1025
2026-03-12,76,96,26,162,1070
2026-03-13,72,101,27,179,1126
2026-03-14,58,110,28,184,1135
2026-03-15,55,119,24,147,1024
2026-03-16,63,124,23,133,998
2026-03-17,64,123,23,125,965
2026-03-18,67,116,22,129,958
2026-03-19,72,108,21,143,985
2026-03-20,77,102,20,157,1020
2026-03-21,69,101,19,161,1014
2026-03-22,70,106,19,152,1002
2026-03-23,79,115,19,138,1000
2026-03-24,76,123,19,130,996
2026-03-25,72,128,20,134,1022
2026-03-26,68,127,21,148,1065
2026-03-27,67,121,22,162,1101
2026-03-28,58,113,23,166,1084
2026-03-29,61,107,24,158,1055
2026-03-30,76,106,25,144,1039
2026-03-31,80,111,26,135,1033
